891, 113, 32.51, 9.74
679, 81, 42.35, 2.87
595, 91, 8.54, 5.55
277, 2, 82.29, 7.14
16, 86, 19.48, 10.70
734, 125, 21.30, 12.73
566, 25, 93.83, 7.99
153, 107, 58.18, 7.41
131, 94, 4.78, 0.50
185, 88, 98.09, 10.37
923, 61, 96.79, 4.48
377, 65, 37.95, 12.39
573, 86, 28.75, 0.07
883, 128, 78.00, 11.66
568, 50, 79.46, 9.35
336, 47, 66.41, 7.33
859, 99, 28.06, 2.79
655, 7, 94.24, 3.52
189, 31, 52.74, 1.52
40, 147, 89.13, 7.37
863, 106, 37.64, 5.48
925, 22, 2.66, 7.24
128, 82, 2.05, 13.60
303, 39, 6.46, 11.79
906, 16, 83.21, 14.47
811, 92, 98.54, 3.26
107, 118, 43.77, 13.56
393, 106, 61.19, 2.69
587, 92, 58.84, 0.01
831, 103, 22.49, 3.88
185, 76, 67.40, 14.54
803, 17, 10.44, 1.26
745, 112, 13.97, 8.34
541, 8, 92.75, 6.16
857, 30, 52.43, 14.70
219, 57, 90.44, 12.75
5, 36, 96.60, 6.31
523, 35, 80.07, 9.64
777, 69, 20.04, 5.80
377, 41, 28.34, 4.45
771, 125, 69.72, 10.31
267, 25, 38.70, 4.22
434, 58, 2.43, 11.35
923, 134, 76.14, 12.64
275, 50, 45.19, 3.09
159, 80, 94.25, 4.68
533, 33, 58.27, 1.56
598, 45, 15.23, 6.72
631, 74, 96.15, 10.32
475, 34, 89.86, 2.33
196, 29, 47.41, 4.94
474, 16, 69.25, 13.74
560, 126, 69.65, 0.88
769, 93, 12.13, 8.59
872, 8, 40.63, 13.39
850, 71, 78.71, 5.16
604, 11, 86.40, 11.68
330, 128, 16.47, 0.68
104, 121, 3.33, 13.30
112, 97, 31.11, 10.03
625, 7, 96.85, 8.59
701, 74, 18.90, 9.75
478, 25, 57.23, 12.95
47, 69, 31.99, 14.74
649, 111, 95.00, 5.85
831, 75, 87.74, 11.25
253, 87, 47.88, 11.16
958, 133, 96.35, 9.42
100, 22, 50.67, 2.51
204, 107, 42.03, 3.16
172, 34, 57.56, 2.17
715, 29, 11.49, 13.95
224, 124, 26.18, 4.53
697, 16, 12.39, 10.30
994, 2, 70.19, 9.43
387, 74, 52.57, 8.18
72, 87, 59.47, 10.80
882, 148, 38.39, 14.70
301, 65, 54.33, 8.99
753, 100, 6.25, 3.96
216, 139, 65.87, 7.40
316, 116, 85.19, 5.19
19, 123, 92.58, 3.25
178, 106, 67.81, 7.22
346, 131, 63.71, 3.24
222, 36, 66.38, 0.93
533, 69, 21.54, 1.11
899, 117, 74.11, 5.64
55, 76, 89.06, 12.80
203, 150, 46.49, 1.26
416, 67, 46.22, 14.13
21, 41, 12.18, 13.70
921, 142, 34.37, 2.14
257, 42, 28.36, 10.66
846, 92, 71.21, 4.51
135, 76, 56.13, 10.31
343, 59, 46.53, 3.32
856, 61, 23.61, 8.73
236, 86, 86.77, 6.34
413, 98, 64.09, 3.39
387, 119, 25.29, 4.59
760, 143, 82.16, 9.26
906, 114, 71.18, 14.92
113, 59, 98.48, 6.04
85, 129, 26.42, 5.16
649, 105, 60.01, 8.71
462, 100, 7.23, 8.07
390, 36, 98.96, 14.90
177, 147, 33.67, 1.51
494, 113, 2.85, 5.15
403, 78, 18.40, 14.20
198, 90, 55.86, 1.33
826, 133, 89.29, 3.06
992, 113, 63.74, 14.37
245, 68, 23.10, 9.79
931, 92, 96.10, 6.73
611, 142, 16.60, 10.45
241, 122, 66.45, 12.49
586, 121, 25.74, 13.81
856, 49, 79.30, 4.25
955, 73, 28.51, 0.48
727, 72, 90.76, 4.88
124, 21, 67.94, 8.16
982, 144, 15.40, 4.83
878, 69, 6.66, 11.42
438, 113, 4.25, 8.11
537, 109, 44.87, 9.23
372, 71, 28.30, 8.27
307, 130, 96.04, 4.16
407, 147, 87.50, 9.30
285, 55, 92.48, 10.81
277, 105, 38.99, 6.39
643, 130, 3.74, 10.01
105, 4, 88.91, 11.84
643, 140, 87.29, 8.21
881, 39, 96.98, 6.63
979, 126, 6.94, 13.45
179, 15, 73.56, 1.35
404, 67, 40.22, 7.04
112, 50, 6.00, 7.16
240, 8, 77.18, 0.36
716, 56, 56.20, 12.09
204, 85, 80.02, 14.86
259, 9, 81.83, 11.96
684, 7, 80.53, 4.43
355, 91, 33.22, 0.91
450, 18, 12.11, 14.05
284, 114, 18.81, 13.32
389, 86, 70.30, 4.44
850, 21, 44.83, 6.47
901, 20, 38.78, 1.26
749, 2, 29.18, 9.11
233, 9, 86.47, 4.74
298, 137, 82.86, 14.27
692, 89, 72.41, 6.60
6, 100, 21.68, 11.25
173, 74, 56.25, 10.07
895, 142, 85.41, 0.99
500, 94, 15.30, 5.17
526, 118, 84.98, 7.52
830, 9, 45.17, 13.27
796, 135, 69.29, 7.42
715, 73, 41.24, 1.77
279, 34, 33.54, 7.26
322, 114, 21.28, 1.20
46, 126, 54.13, 1.62
913, 105, 69.03, 4.09
248, 44, 16.79, 2.44
327, 54, 90.54, 0.45
277, 61, 18.53, 7.83
671, 61, 79.03, 13.34
546, 37, 55.99, 7.77
896, 48, 46.98, 12.04
425, 28, 82.91, 10.94
333, 89, 28.75, 7.73
412, 24, 0.27, 7.51
986, 129, 78.58, 3.71
378, 18, 70.93, 3.29
924, 119, 72.15, 5.82
103, 137, 49.05, 4.66
675, 96, 94.40, 11.30
865, 77, 33.42, 1.67
305, 114, 37.78, 5.38
138, 43, 86.25, 5.37
858, 69, 44.11, 14.70
113, 113, 71.49, 11.70
523, 66, 60.42, 8.67
738, 149, 29.78, 2.11
750, 27, 37.10, 8.30
812, 130, 90.80, 10.90
514, 86, 6.56, 11.66
60, 136, 60.50, 3.65
939, 101, 83.52, 12.67
169, 97, 52.39, 4.89
906, 52, 51.77, 14.32
825, 58, 59.84, 8.83
142, 72, 12.97, 3.13
443, 116, 94.66, 3.73
557, 105, 31.01, 9.83
281, 43, 7.09, 12.68
466, 20, 13.06, 8.26
639, 135, 3.00, 13.41
665, 78, 46.38, 7.40
114, 7, 81.57, 4.49
